t1_left	a1_left	f1_left	block_type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time	sequence_report
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_10	1	1263.075	39	keydown	right_down	NA	NA	NA	0	0	0	FALSE	20783.16	21610.18	22890.015	23058.265	NA	0	23058.79	6593390	115159	6593392	0	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_8	1	1107.955	37	keydown	left_down	NA	NA	NA	0	1	0	FALSE	23059.185	23741.1	24865.705	25023.325	NA	1	25023.645	6593390	115159	6593393	1964.855	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_2	1	983.81	37	keydown	left_down	NA	NA	NA	0	2	0	FALSE	25024.245	25672.71	26673.18	26838.38	NA	2	26838.62	6593390	115159	6593393	3779.83	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_10	1	654.61	37	keydown	left_down	NA	NA	NA	0	3	0	FALSE	26838.9	27487.88	28159.3	28320.44	NA	3	28320.68	6593390	115159	6593393	5261.89	
FALSE	TRUE	NA	tar1att2_1	tar_1	furongwang_p_9_test	1	723.28	39	keydown	right_down	NA	NA	NA	0	4	0	FALSE	28321.205	28886.6	29714.085	29869.085	NA	4	29869.325	6593390	115159	6593394	6810.535	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_6	1	912.41	37	keydown	left_down	NA	NA	NA	0	5	0	FALSE	29869.6	30451.91	31380.96	31534.31	NA	5	31534.555	6593390	115159	6593394	8475.765	
FALSE	TRUE	NA	tar1att2_1	tar_1	baisha_p_10_test	1	657.365	39	keydown	right_down	NA	NA	NA	0	6	0	FALSE	31535.07	32183.775	32945.045	33099.645	NA	6	33099.875	6593390	115159	6593395	10041.085	
FALSE	TRUE	NA	tar1att2_1	tar_1	yunyan_a_6_test	1	797.29	39	keydown	right_down	NA	NA	NA	0	7	0	FALSE	33100.31	33848.995	34764.89	34914.68	NA	7	34914.915	6593390	115159	6593395	11856.125	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_3	1	1027.3	37	keydown	left_down	NA	NA	NA	0	8	0	FALSE	34915.19	35481.715	36525.32	36679.795	NA	8	36680.055	6593390	115159	6593395	13621.265	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_3	1	833.69	39	keydown	right_down	NA	NA	NA	0	9	0	FALSE	36680.315	37196.075	38046.425	38211.85	NA	9	38212.09	6593390	115159	6593396	15153.3	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_2	1	548.37	39	keydown	right_down	NA	NA	NA	0	10	0	FALSE	38212.41	38861.27	39426.295	39577.35	NA	10	39577.595	6593390	115159	6593396	16518.805	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_4	1	804.895	39	keydown	right_down	NA	NA	NA	0	11	0	FALSE	39577.885	40426.615	41248.155	41409.055	NA	11	41409.31	6593390	115159	6593397	18350.52	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_7	1	658.075	37	keydown	left_down	NA	NA	NA	0	12	0	FALSE	41409.605	42075.17	42749.905	42907.76	NA	12	42908	6593390	115159	6593397	19849.21	
FALSE	TRUE	NA	tar1att2_1	tar_1	huanghelou_p_5_test	1	585.705	39	keydown	right_down	NA	NA	NA	0	13	0	FALSE	42908.405	43773.64	44468.66	44622.92	NA	13	44623.16	6593390	115159	6593397	21564.37	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_1	1	917.1	37	keydown	left_down	NA	NA	NA	0	14	0	FALSE	44623.46	45222.395	46156.185	46304.835	NA	14	46305.075	6593390	115159	6593398	23246.285	
FALSE	TRUE	NA	tar1att2_1	tar_1	baisha_a_5_test	1	681.31	39	keydown	right_down	NA	NA	NA	0	15	0	FALSE	46305.445	47253.94	48043.685	48186.48	NA	15	48186.78	6593390	115159	6593398	25127.99	
