vpt.from_seq	vpt.to_seq	vpt.event	vpt.block	vpt.trial	vpt.patt	vpt.reps	vpt.phor	vpt.stim	vpt.keep	vpt.thor	vpt.image	vpt.pdir	vpt.response	vpt.rt	vpt.set_id	vpt.type	vpt.placebo
788	789	trial	3	16	no	2	right	sw_a_19	no	left	sw_a_19_left	down	1	412	2	train	FALSE
791	792	trial	3	17	no	2	right	sa_p_58	yes	left	sa_p_58_left	up	1	401	2	train	FALSE
794	795	trial	3	18	no	3	left	sa_p_58	no	right	sa_p_58_right	up	1	529	2	train	FALSE
797	798	trial	3	19	no	1	right	sw_a_19	yes	left	sw_a_19_left	down	1	417	2	train	FALSE
800	801	trial	3	20	no	1	right	dr_p_1	yes	left	dr_p_1_left	up	1	437	2	train	FALSE
803	804	trial	3	21	no	1	right	sw_a_4	yes	left	sw_a_4_left	down	1	465	2	train	FALSE
806	807	trial	3	22	no	0	right	sa_p_58	no	left	sa_p_58_left	down	1	471	2	train	FALSE
809	810	trial	3	23	no	1	right	sa_p_58	no	left	sa_p_58_left	up	1	496	2	train	FALSE
812	813	trial	3	24	no	1	left	sw_a_4	yes	right	sw_a_4_right	up	1	455	2	train	FALSE
815	816	trial	3	25	no	2	right	sw_a_43	yes	left	sw_a_43_left	up	1	394	2	train	FALSE
818	819	trial	3	26	no	2	left	sa_p_11	yes	right	sa_p_11_right	up	1	532	2	train	FALSE
821	822	trial	3	27	no	2	left	sw_a_54	yes	right	sw_a_54_right	down	1	459	2	train	FALSE
824	825	trial	3	28	no	0	left	sw_a_4	no	right	sw_a_4_right	up	1	451	2	train	FALSE
827	828	trial	3	29	no	0	right	sa_p_30	no	left	sa_p_30_left	down	1	425	2	train	FALSE
830	831	trial	3	30	no	1	left	sw_a_23	no	right	sw_a_23_right	down	1	459	2	train	FALSE
833	834	trial	3	31	no	3	right	dr_p_9	no	left	dr_p_9_left	up	1	447	2	train	FALSE
836	837	trial	3	32	no	0	right	sw_a_19	yes	left	sw_a_19_left	up	1	386	2	train	FALSE
839	840	trial	3	33	no	0	left	sw_a_23	yes	right	sw_a_23_right	up	1	412	2	train	FALSE
842	843	trial	3	34	no	3	left	sa_p_11	yes	right	sa_p_11_right	up	1	440	2	train	FALSE
845	846	trial	3	35	no	2	right	sw_a_54	no	left	sw_a_54_left	down	2	357	2	train	FALSE
849	850	trial	3	36	no	2	left	sw_a_19	yes	right	sw_a_19_right	down	1	484	2	train	FALSE
852	853	trial	3	37	no	2	left	dr_p_9	yes	right	dr_p_9_right	up	1	401	2	train	FALSE
855	856	trial	3	38	no	1	right	sa_p_11	yes	left	sa_p_11_left	up	1	467	2	train	FALSE
858	859	trial	3	39	no	3	right	sw_a_19	no	left	sw_a_19_left	up	1	422	2	train	FALSE
861	862	trial	3	40	no	3	right	sw_a_19	yes	left	sw_a_19_left	down	1	408	2	train	FALSE
864	865	trial	3	41	no	2	right	sw_a_19	yes	left	sw_a_19_left	down	1	419	2	train	FALSE
867	868	trial	3	42	no	0	left	sw_a_23	no	right	sw_a_23_right	up	1	374	2	train	FALSE
870	871	trial	3	43	no	0	right	sa_p_11	no	left	sa_p_11_left	down	1	478	2	train	FALSE
873	874	trial	3	44	no	0	left	sw_p_10	no	right	sw_p_10_right	down	1	486	2	train	FALSE
876	877	trial	3	45	no	3	left	sa_p_11	no	right	sa_p_11_right	down	1	732	2	train	FALSE
879	880	trial	3	46	no	3	left	sa_a_31	yes	right	sa_a_31_right	down	1	652	2	train	FALSE
882	883	trial	3	47	no	2	left	sw_a_19	no	right	sw_a_19_right	up	1	460	2	train	FALSE
885	886	trial	3	48	no	0	left	sa_p_30	yes	right	sa_p_30_right	down	1	536	2	train	FALSE
888	889	trial	3	49	no	3	right	sw_a_23	no	left	sw_a_23_left	up	1	421	2	train	FALSE
891	892	trial	3	50	no	0	right	sa_p_58	yes	left	sa_p_58_left	down	1	431	2	train	FALSE
894	895	trial	3	51	no	2	left	dr_p_1	no	right	dr_p_1_right	up	1	411	2	train	FALSE
897	898	trial	3	52	no	2	right	dr_p_9	yes	left	dr_p_9_left	down	1	495	2	train	FALSE
900	901	trial	3	53	no	1	left	sw_a_54	no	right	sw_a_54_right	down	1	455	2	train	FALSE
903	904	trial	3	54	no	3	right	sa_a_31	yes	left	sa_a_31_left	down	1	451	2	train	FALSE
906	907	trial	3	55	no	1	left	sw_p_10	yes	right	sw_p_10_right	up	1	636	2	train	FALSE
909	910	trial	3	56	no	3	right	sw_a_43	no	left	sw_a_43_left	up	1	482	2	train	FALSE
912	913	trial	3	57	no	3	left	dr_p_1	yes	right	dr_p_1_right	up	1	411	2	train	FALSE
915	916	trial	3	58	no	2	left	sa_a_31	no	right	sa_a_31_right	down	1	489	2	train	FALSE
918	919	trial	3	59	no	3	left	sw_p_10	yes	right	sw_p_10_right	down	1	470	2	train	FALSE
921	922	trial	3	60	no	2	left	dr_p_1	yes	right	dr_p_1_right	down	1	393	2	train	FALSE
924	925	trial	3	61	no	0	left	sw_a_4	yes	right	sw_a_4_right	down	2	425	2	train	FALSE
928	929	trial	3	62	no	0	right	dr_p_1	yes	left	dr_p_1_left	down	2	354	2	train	FALSE
932	933	trial	3	63	no	1	left	sw_a_19	yes	right	sw_a_19_right	down	1	371	2	train	FALSE
935	936	trial	3	64	no	0	right	sa_p_11	yes	left	sa_p_11_left	up	1	473	2	train	FALSE
938	939	trial	3	65	no	1	right	dr_p_9	yes	left	dr_p_9_left	up	1	412	2	train	FALSE
941	942	trial	3	66	no	1	left	sa_p_58	no	right	sa_p_58_right	down	1	465	2	train	FALSE
944	945	trial	3	67	no	1	left	dr_p_9	yes	right	dr_p_9_right	down	1	504	2	train	FALSE
947	948	trial	3	68	no	3	right	dr_p_9	yes	left	dr_p_9_left	down	1	415	2	train	FALSE
950	951	trial	3	69	no	2	right	sw_p_10	no	left	sw_p_10_left	down	1	503	2	train	FALSE
953	954	trial	3	70	no	2	left	sa_p_30	no	right	sa_p_30_right	down	1	470	2	train	FALSE
956	957	trial	3	71	no	2	left	sw_a_43	yes	right	sw_a_43_right	up	1	604	2	train	FALSE
959	960	trial	3	72	no	3	left	sw_a_54	no	right	sw_a_54_right	up	1	444	2	train	FALSE
962	963	trial	3	73	no	3	right	sa_p_30	yes	left	sa_p_30_left	up	1	429	2	train	FALSE
965	966	trial	3	74	no	2	right	sw_a_23	no	left	sw_a_23_left	up	1	406	2	train	FALSE
968	969	trial	3	75	no	3	left	sw_a_54	yes	right	sw_a_54_right	up	1	431	2	train	FALSE
971	972	trial	3	76	no	2	right	sa_a_31	no	left	sa_a_31_left	down	1	470	2	train	FALSE
974	975	trial	3	77	no	2	right	sa_p_58	no	left	sa_p_58_left	down	1	462	2	train	FALSE
977	978	trial	3	78	no	1	left	dr_p_1	no	right	dr_p_1_right	down	1	526	2	train	FALSE
980	981	trial	3	79	no	1	right	dr_p_1	no	left	dr_p_1_left	down	1	540	2	train	FALSE
983	984	trial	3	80	no	0	right	sw_a_54	no	left	sw_a_54_left	down	1	467	2	train	FALSE
986	987	trial	3	81	no	2	left	sw_p_10	yes	right	sw_p_10_right	down	1	422	2	train	FALSE
989	990	trial	3	82	no	0	right	sw_a_23	yes	left	sw_a_23_left	down	1	425	2	train	FALSE
992	993	trial	3	83	no	1	right	sw_p_10	no	left	sw_p_10_left	up	1	534	2	train	FALSE
995	996	trial	3	84	no	0	left	sw_a_54	yes	right	sw_a_54_right	down	1	478	2	train	FALSE
998	999	trial	3	85	no	1	right	sw_a_43	no	left	sw_a_43_left	down	1	467	2	train	FALSE
1001	1002	trial	3	86	no	1	left	sa_a_31	no	right	sa_a_31_right	down	1	529	2	train	FALSE
1004	1005	trial	3	87	no	3	left	sw_a_4	yes	right	sw_a_4_right	down	1	382	2	train	FALSE
1007	1008	trial	3	88	no	0	left	sw_p_10	yes	right	sw_p_10_right	down	1	428	2	train	FALSE
1010	1011	trial	3	89	no	3	right	sa_p_30	no	left	sa_p_30_left	down	1	447	2	train	FALSE
1013	1014	trial	3	90	no	3	left	sw_a_43	no	right	sw_a_43_right	down	1	413	2	train	FALSE
1016	1017	trial	3	91	no	3	right	sa_p_58	yes	left	sa_p_58_left	up	1	498	2	train	FALSE
1019	1020	trial	3	92	no	1	right	dr_p_9	no	left	dr_p_9_left	up	1	431	2	train	FALSE
1022	1023	trial	3	93	no	2	right	sw_a_54	yes	left	sw_a_54_left	down	1	380	2	train	FALSE
1025	1026	trial	3	94	no	0	right	sw_a_43	no	left	sw_a_43_left	up	1	456	2	train	FALSE
1028	1029	trial	3	95	no	2	left	sw_a_4	no	right	sw_a_4_right	up	1	471	2	train	FALSE
