t1_left	a1_left	type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	UserID	RunID
FALSE	FALSE	tar1att1	ysel	ysel_4	1	546.005	39	keydown	right_down	NA	NA	NA	3	37	0	FALSE	219476	219732	220294	220467	90	52320	2468556
TRUE	TRUE	att_discr	nsel	yoth_3	1	2465.45	39	keydown	right_down	NA	NA	NA	1	0	0	FALSE	113316.205	113568.36	116050.415	116142.42	16	52324	2468557
TRUE	TRUE	att_discr	ysel	ysel_4	1	918.09999999999	37	keydown	left_down	NA	NA	NA	1	1	0	FALSE	116142.57	116401.425	117336.2	117401.855	17	52324	2468557
TRUE	TRUE	att_discr	nsel	yoth_4	1	887.28	39	keydown	right_down	NA	NA	NA	1	2	0	FALSE	117402.005	117667.825	118571.77	118654.025	18	52324	2468557
TRUE	TRUE	att_discr	nsel	yoth_4	1	714.61	39	keydown	right_down	NA	NA	NA	1	3	0	FALSE	118654.17	118917.64	119648.885	119750.555	19	52324	2468557
TRUE	FALSE	tar1att2	ndri	yabs_1	1	1498.995	39	keydown	right_down	NA	NA	NA	2	12	2	FALSE	221559	225243	226762.995	226985.995	47	52319	2468563
TRUE	FALSE	tar1att2	nsel	yoth_1	1	1142.995	37	keydown	left_down	NA	NA	NA	2	13	0	FALSE	226987	227247.995	228408.995	228553.995	48	52319	2468563
TRUE	FALSE	tar1att2	ndri	yabs_2	1	946.005	39	keydown	right_down	NA	NA	NA	2	14	0	FALSE	228555	228813.995	229777.995	229944	49	52319	2468563
TRUE	FALSE	tar1att1	ydri	ydri_3	1	1244.9288247529	39	keydown	right_down	NA	NA	NA	6	22	0	FALSE	401366.69821164	401620.49855498	402884.65929329	403068.3690944	153	52312	2468567
TRUE	FALSE	tar1att1	nsel	yoth_1	1	962.57150000904	37	keydown	left_down	NA	NA	NA	6	23	0	FALSE	403069.77220569	403320.00805968	404301.90925104	404483.67522967	154	52312	2468567
TRUE	FALSE	tar1att1	ndri	yabs_3	1	1470.3159200401	37	keydown	left_down	NA	NA	NA	6	24	0	FALSE	404484.81385204	404735.83388392	406226.03780648	406408.16067405	155	52312	2468567
TRUE	FALSE	tar1att1	ndri	yabs_2	2	1246.0882092244	#button_right	mousedown	right_down	NA	NA	NA	6	16	0	TRUE	653471.58422138	653731.53741085	654996.09200678	655153.79035109	160	52299	2468569
TRUE	FALSE	tar1att1	ndri	yabs_2	1	988.44475500006	#button_left	mousedown	left_down	NA	NA	NA	6	16	1	FALSE	653471.58422138	655153.91926272	656168.91201452	656314.2639905	161	52299	2468569
TRUE	FALSE	tar1att1	nsel	yoth_1	1	1151.8402546704	#button_left	mousedown	left_down	NA	NA	NA	6	17	0	FALSE	656315.14789737	656577.64770749	657747.81394192	657857.63680337	162	52299	2468569
FALSE	FALSE	tar1att1	ydri	ydri_1	1	596.005	39	keydown	right_down	NA	NA	NA	3	38	0	FALSE	220467	220732	221344	221482	91	52320	2468571
FALSE	FALSE	tar1att1	ysel	ysel_4	1	594.005	39	keydown	right_down	NA	NA	NA	3	39	0	FALSE	221483	221732	222342	222514.995	92	52320	2468571
FALSE	FALSE	tar1att1	ndri	yabs_4	1	647.005	37	keydown	left_down	NA	NA	NA	3	40	0	FALSE	222514.995	222764.995	223429	223605	93	52320	2468571
FALSE	FALSE	tar1att1	ysel	ysel_2	1	541.995	39	keydown	right_down	NA	NA	NA	3	41	0	FALSE	223605	223865	224423.995	224601	94	52320	2468571
TRUE	TRUE	att_discr	nsel	yoth_2	1	768.075	39	keydown	right_down	NA	NA	NA	1	4	0	FALSE	119750.7	120000.825	120785.555	120877.63	20	52324	2468573
TRUE	TRUE	att_discr	nsel	yoth_3	1	875.5	39	keydown	right_down	NA	NA	NA	1	5	0	FALSE	120877.78	121134.05	122026.185	122120.635	21	52324	2468573
TRUE	TRUE	att_discr	ysel	ysel_2	1	774.105	37	keydown	left_down	NA	NA	NA	1	6	0	FALSE	122120.85	122383.915	123174.7	123257.765	22	52324	2468573
