from_seq	to_seq	event	block	trial	patt	reps	phor	stim	keep	thor	image	pdir	response	rt	set_id	type	placebo
464	465	trial	2	10	no	0	left	p3	yes	right	p3_right	down	1	443	171	train	TRUE
467	468	trial	2	11	no	1	right	a48	yes	left	a48_left	down	1	416	171	train	TRUE
470	471	trial	2	12	yes	1	right	p42	no	right	p42_right	up	1	448	171	train	TRUE
473	474	trial	2	13	no	1	left	a11	no	right	a11_right	down	1	553	171	train	TRUE
476	477	trial	2	14	no	1	left	p42	no	right	p42_right	down	1	571	171	train	TRUE
479	480	trial	2	15	yes	0	left	p42	no	left	p42_left	up	1	753	171	train	TRUE
482	483	trial	2	16	no	1	right	p3	yes	left	p3_left	up	1	716	171	train	TRUE
485	486	trial	2	17	yes	0	left	p2	no	left	p2_left	down	1	479	171	train	TRUE
488	489	trial	2	18	no	0	left	p1	no	right	p1_right	up	1	499	171	train	TRUE
491	492	trial	2	19	yes	1	right	a33	no	right	a33_right	down	1	478	171	train	TRUE
494	495	trial	2	20	no	1	right	a48	no	left	a48_left	down	1	568	171	train	TRUE
497	498	trial	2	21	no	1	right	p42	yes	left	p42_left	up	1	420	171	train	TRUE
500	501	trial	2	22	yes	0	right	a44	yes	right	a44_right	down	1	430	171	train	TRUE
503	504	trial	2	23	no	0	right	p42	yes	left	p42_left	down	1	449	171	train	TRUE
506	507	trial	2	24	yes	1	left	a69	yes	left	a69_left	up	1	757	171	train	TRUE
509	510	trial	2	25	no	1	left	a27	yes	right	a27_right	up	1	560	171	train	TRUE
512	513	trial	2	26	yes	1	left	a11	yes	left	a11_left	up	1	550	171	train	TRUE
515	516	trial	2	27	no	1	right	p5	yes	left	p5_left	down	1	599	171	train	TRUE
518	519	trial	2	28	yes	0	left	a48	yes	left	a48_left	down	2	604	171	train	TRUE
522	523	trial	2	29	no	0	right	a69	no	left	a69_left	down	1	591	171	train	TRUE
525	526	trial	2	30	yes	1	right	p1	no	right	p1_right	down	1	502	171	train	TRUE
528	529	trial	2	31	no	0	left	p42	yes	right	p42_right	up	1	702	171	train	TRUE
531	532	trial	2	32	no	0	right	a33	no	left	a33_left	down	1	537	171	train	TRUE
534	535	trial	2	33	yes	1	right	p65	no	right	p65_right	up	1	527	171	train	TRUE
537	538	trial	2	34	yes	0	right	p3	no	right	p3_right	down	1	524	171	train	TRUE
540	541	trial	2	35	yes	0	right	a33	no	right	a33_right	down	1	561	171	train	TRUE
543	544	trial	2	36	no	1	right	a69	no	left	a69_left	down	1	682	171	train	TRUE
546	547	trial	2	37	yes	0	left	a11	no	left	a11_left	down	1	596	171	train	TRUE
549	550	trial	2	38	yes	0	left	a33	yes	left	a33_left	up	1	572	171	train	TRUE
552	553	trial	2	39	no	0	right	p5	yes	left	p5_left	down	1	483	171	train	TRUE
555	556	trial	2	40	no	1	left	p65	yes	right	p65_right	down	1	658	171	train	TRUE
558	559	trial	2	41	no	0	left	p65	yes	right	p65_right	down	1	628	171	train	TRUE
561	562	trial	2	42	yes	0	left	a69	yes	left	a69_left	up	1	590	171	train	TRUE
564	565	trial	2	43	no	0	right	p1	yes	left	p1_left	up	1	590	171	train	TRUE
567	568	trial	2	44	no	1	right	a44	no	left	a44_left	up	1	682	171	train	TRUE
570	571	trial	2	45	no	0	left	p42	no	right	p42_right	down	1	588	171	train	TRUE
573	574	trial	2	46	no	1	right	a33	no	left	a33_left	down	1	556	171	train	TRUE
576	577	trial	2	47	no	0	left	p1	yes	right	p1_right	up	1	663	171	train	TRUE
579	580	trial	2	48	yes	0	left	p2	yes	left	p2_left	up	1	627	171	train	TRUE
582	583	trial	2	49	no	1	left	p3	no	right	p3_right	down	1	584	171	train	TRUE
585	586	trial	2	50	yes	1	right	p5	no	right	p5_right	up	1	629	171	train	TRUE
588	589	trial	2	51	yes	1	right	p2	yes	right	p2_right	up	1	469	171	train	TRUE
591	592	trial	2	52	no	0	left	a33	no	right	a33_right	down	1	666	171	train	TRUE
594	595	trial	2	53	yes	1	left	p1	yes	left	p1_left	up	1	699	171	train	TRUE
597	598	trial	2	54	no	1	right	a27	no	left	a27_left	up	1	515	171	train	TRUE
600	601	trial	2	55	yes	1	left	a27	no	left	a27_left	down	1	589	171	train	TRUE
603	604	trial	2	56	yes	0	left	p5	yes	left	p5_left	up	1	835	171	train	TRUE
606	607	trial	2	57	no	1	right	a69	yes	left	a69_left	down	1	539	171	train	TRUE
609	610	trial	2	58	yes	1	right	a27	yes	right	a27_right	down	1	502	171	train	TRUE
612	613	trial	2	59	no	1	left	p2	yes	right	p2_right	up	1	680	171	train	TRUE
615	616	trial	2	60	yes	0	left	a48	no	left	a48_left	up	1	756	171	train	TRUE
618	619	trial	2	61	yes	1	left	a11	no	left	a11_left	up	1	603	171	train	TRUE
621	622	trial	2	62	no	0	left	p5	no	right	p5_right	up	1	449	171	train	TRUE
624	625	trial	2	63	no	1	right	p65	yes	left	p65_left	down	1	500	171	train	TRUE
627	628	trial	2	64	yes	1	right	p5	yes	right	p5_right	down	1	484	171	train	TRUE
630	631	trial	2	65	no	0	right	p65	no	left	p65_left	up	1	493	171	train	TRUE
633	634	trial	2	66	yes	1	left	a69	no	left	a69_left	down	2	500	171	train	TRUE
637	638	trial	2	67	yes	0	left	a69	no	left	a69_left	down	1	622	171	train	TRUE
640	641	trial	2	68	no	0	right	a48	no	left	a48_left	up	1	520	171	train	TRUE
643	644	trial	2	69	yes	1	left	p42	no	left	p42_left	up	1	558	171	train	TRUE
646	647	trial	2	70	yes	0	right	p1	yes	right	p1_right	down	1	667	171	train	TRUE
649	650	trial	2	71	no	0	left	a44	no	right	a44_right	down	1	601	171	train	TRUE
652	653	trial	2	72	yes	0	left	p65	no	left	p65_left	down	1	627	171	train	TRUE
655	656	trial	2	73	yes	1	left	a48	yes	left	a48_left	up	1	820	171	train	TRUE
658	659	trial	2	74	no	0	left	a48	yes	right	a48_right	up	1	616	171	train	TRUE
661	662	trial	2	75	yes	1	right	a69	no	right	a69_right	up	1	725	171	train	TRUE
664	665	trial	2	76	no	1	left	p42	yes	right	p42_right	up	1	529	171	train	TRUE
667	668	trial	2	77	yes	0	right	p2	no	right	p2_right	down	1	516	171	train	TRUE
670	671	trial	2	78	no	0	right	a11	yes	left	a11_left	down	1	495	171	train	TRUE
673	674	trial	2	79	yes	1	left	p1	no	left	p1_left	up	1	693	171	train	TRUE
676	677	trial	2	80	yes	0	left	a33	no	left	a33_left	down	1	617	171	train	TRUE
679	680	trial	2	81	yes	0	left	p1	yes	left	p1_left	up	1	702	171	train	TRUE
682	683	trial	2	82	yes	1	left	p3	no	left	p3_left	up	1	516	171	train	TRUE
685	686	trial	2	83	yes	0	right	a69	no	right	a69_right	down	1	481	171	train	TRUE
688	689	trial	2	84	yes	1	left	p65	no	left	p65_left	up	1	710	171	train	TRUE
691	692	trial	2	85	no	1	left	a48	no	right	a48_right	up	1	845	171	train	TRUE
694	695	trial	2	86	yes	1	left	p3	yes	left	p3_left	up	1	816	171	train	TRUE
697	698	trial	2	87	yes	0	right	a48	no	right	a48_right	up	1	2758	171	train	TRUE
700	701	trial	2	88	no	0	left	p2	no	right	p2_right	down	1	649	171	train	TRUE
703	704	trial	2	89	yes	0	right	a44	no	right	a44_right	up	1	508	171	train	TRUE
706	707	trial	2	90	yes	1	right	a44	yes	right	a44_right	down	1	513	171	train	TRUE
709	710	trial	2	91	yes	1	left	p2	no	left	p2_left	up	1	715	171	train	TRUE
712	713	trial	2	92	yes	1	left	a44	yes	left	a44_left	up	1	598	171	train	TRUE
715	716	trial	2	93	no	0	right	a27	no	left	a27_left	down	1	550	171	train	TRUE
718	719	trial	2	94	yes	0	right	p65	yes	right	p65_right	up	1	399	171	train	TRUE
721	722	trial	2	95	yes	1	left	p2	yes	left	p2_left	down	1	531	171	train	TRUE
728	729	trial	3	0	yes	0	right	p65	no	right	p65_right	down	1	738	171	train	TRUE
731	732	trial	3	1	yes	0	left	p1	no	left	p1_left	up	1	599	171	train	TRUE
734	735	trial	3	2	yes	1	right	a11	yes	right	a11_right	up	1	486	171	train	TRUE
737	738	trial	3	3	yes	0	right	p1	no	right	p1_right	up	1	499	171	train	TRUE
740	741	trial	3	4	no	1	left	p1	yes	right	p1_right	up	1	586	171	train	TRUE
743	744	trial	3	5	no	1	right	a44	yes	left	a44_left	down	1	466	171	train	TRUE
746	747	trial	3	6	no	1	left	a44	yes	right	a44_right	up	1	532	171	train	TRUE
749	750	trial	3	7	no	0	right	a27	yes	left	a27_left	down	1	458	171	train	TRUE
752	753	trial	3	8	yes	0	right	a27	no	right	a27_right	down	1	844	171	train	TRUE
755	756	trial	3	9	no	0	right	p2	no	left	p2_left	up	1	616	171	train	TRUE
758	759	trial	3	10	yes	0	right	a33	yes	right	a33_right	down	1	462	171	train	TRUE
761	762	trial	3	11	yes	1	right	a33	yes	right	a33_right	down	1	583	171	train	TRUE
764	765	trial	3	12	no	1	left	a11	yes	right	a11_right	down	1	467	171	train	TRUE
767	768	trial	3	13	yes	1	left	p5	no	left	p5_left	down	1	697	171	train	TRUE
770	771	trial	3	14	no	0	left	a48	no	right	a48_right	up	1	675	171	train	TRUE
773	774	trial	3	15	no	1	left	a33	no	right	a33_right	down	1	546	171	train	TRUE
776	777	trial	3	16	yes	1	right	a11	no	right	a11_right	down	1	587	171	train	TRUE
779	780	trial	3	17	no	0	left	a27	yes	right	a27_right	up	1	713	171	train	TRUE
782	783	trial	3	18	yes	0	left	p42	yes	left	p42_left	down	1	704	171	train	TRUE
785	786	trial	3	19	no	0	right	a11	no	left	a11_left	down	1	2124	171	train	TRUE
788	789	trial	3	20	no	1	right	a27	yes	left	a27_left	down	1	531	171	train	TRUE
791	792	trial	3	21	yes	1	left	p65	yes	left	p65_left	up	1	830	171	train	TRUE
794	795	trial	3	22	yes	1	right	p42	yes	right	p42_right	up	1	738	171	train	TRUE
797	798	trial	3	23	no	0	right	p65	yes	left	p65_left	down	1	490	171	train	TRUE
800	801	trial	3	24	yes	1	left	a27	yes	left	a27_left	up	1	908	171	train	TRUE
803	804	trial	3	25	yes	0	right	a11	yes	right	a11_right	down	1	870	171	train	TRUE
806	807	trial	3	26	no	0	right	a33	yes	left	a33_left	down	1	643	171	train	TRUE
809	810	trial	3	27	no	0	right	a69	yes	left	a69_left	up	1	964	171	train	TRUE
812	813	trial	3	28	no	0	left	p3	no	right	p3_right	down	1	634	171	train	TRUE
815	816	trial	3	29	yes	1	left	a44	no	left	a44_left	up	1	582	171	train	TRUE
818	819	trial	3	30	yes	0	left	p5	no	left	p5_left	down	1	490	171	train	TRUE
821	822	trial	3	31	no	0	left	a69	yes	right	a69_right	up	1	610	171	train	TRUE
824	825	trial	3	32	yes	0	left	p3	yes	left	p3_left	down	1	515	171	train	TRUE
827	828	trial	3	33	yes	0	right	p42	no	right	p42_right	up	1	642	171	train	TRUE
830	831	trial	3	34	no	1	left	a69	no	right	a69_right	up	1	716	171	train	TRUE
833	834	trial	3	35	no	1	right	a33	yes	left	a33_left	down	1	803	171	train	TRUE
836	837	trial	3	36	yes	0	left	p65	yes	left	p65_left	up	1	655	171	train	TRUE
839	840	trial	3	37	no	1	right	a11	no	left	a11_left	down	1	611	171	train	TRUE
842	843	trial	3	38	yes	0	right	p5	no	right	p5_right	up	1	472	171	train	TRUE
845	846	trial	3	39	no	1	left	p5	no	right	p5_right	up	1	630	171	train	TRUE
848	849	trial	3	40	yes	1	right	p3	yes	right	p3_right	down	1	447	171	train	TRUE
851	852	trial	3	41	no	0	left	a33	yes	right	a33_right	up	1	556	171	train	TRUE
854	855	trial	3	42	no	1	right	p1	no	left	p1_left	up	1	682	171	train	TRUE
857	858	trial	3	43	no	0	left	p5	yes	right	p5_right	up	1	505	171	train	TRUE
860	861	trial	3	44	no	0	left	a27	no	right	a27_right	down	1	488	171	train	TRUE
863	864	trial	3	45	no	0	right	p3	no	left	p3_left	up	2	553	171	train	TRUE
867	868	trial	3	46	yes	1	right	p3	no	right	p3_right	up	1	575	171	train	TRUE
870	871	trial	3	47	yes	1	right	p65	yes	right	p65_right	up	1	409	171	train	TRUE
873	874	trial	3	48	yes	1	right	a44	no	right	a44_right	up	1	650	171	train	TRUE
876	877	trial	3	49	yes	1	left	a33	no	left	a33_left	down	1	652	171	train	TRUE
879	880	trial	3	50	yes	1	left	p42	yes	left	p42_left	down	1	671	171	train	TRUE
882	883	trial	3	51	yes	0	left	a44	no	left	a44_left	down	1	596	171	train	TRUE
885	886	trial	3	52	no	1	left	p3	yes	right	p3_right	up	1	567	171	train	TRUE
888	889	trial	3	53	no	0	right	a48	yes	left	a48_left	down	1	455	171	train	TRUE
891	892	trial	3	54	no	1	left	a27	no	right	a27_right	up	1	719	171	train	TRUE
894	895	trial	3	55	yes	0	left	a44	yes	left	a44_left	down	1	641	171	train	TRUE
897	898	trial	3	56	no	1	left	a69	yes	right	a69_right	up	1	577	171	train	TRUE
900	901	trial	3	57	yes	0	right	a69	yes	right	a69_right	down	1	511	171	train	TRUE
903	904	trial	3	58	no	0	left	p2	yes	right	p2_right	down	1	449	171	train	TRUE
906	907	trial	3	59	yes	0	right	a11	no	right	a11_right	down	1	646	171	train	TRUE
909	910	trial	3	60	yes	1	left	a48	no	left	a48_left	up	1	735	171	train	TRUE
912	913	trial	3	61	no	1	left	p1	no	right	p1_right	down	1	525	171	train	TRUE
915	916	trial	3	62	yes	1	right	a48	yes	right	a48_right	up	1	665	171	train	TRUE
918	919	trial	3	63	yes	1	left	p5	yes	left	p5_left	up	1	516	171	train	TRUE
921	922	trial	3	64	yes	0	right	p5	yes	right	p5_right	down	1	497	171	train	TRUE
924	925	trial	3	65	yes	0	left	a11	yes	left	a11_left	up	1	661	171	train	TRUE
927	928	trial	3	66	yes	0	right	p42	yes	right	p42_right	up	1	531	171	train	TRUE
930	931	trial	3	67	no	0	right	p3	yes	left	p3_left	down	1	540	171	train	TRUE
933	934	trial	3	68	no	1	left	p65	no	right	p65_right	up	1	679	171	train	TRUE
936	937	trial	3	69	no	1	left	a33	yes	right	a33_right	down	1	497	171	train	TRUE
939	940	trial	3	70	no	1	right	p65	no	left	p65_left	up	1	523	171	train	TRUE
942	943	trial	3	71	no	1	right	p3	no	left	p3_left	down	1	567	171	train	TRUE
945	946	trial	3	72	no	1	left	p2	no	right	p2_right	up	1	715	171	train	TRUE
948	949	trial	3	73	no	1	right	a11	yes	left	a11_left	up	1	466	171	train	TRUE
951	952	trial	3	74	no	1	right	p2	yes	left	p2_left	up	1	605	171	train	TRUE
954	955	trial	3	75	yes	0	left	a27	no	left	a27_left	down	1	639	171	train	TRUE
957	958	trial	3	76	no	1	right	p5	no	left	p5_left	up	1	491	171	train	TRUE
960	961	trial	3	77	no	0	left	a44	yes	right	a44_right	down	1	694	171	train	TRUE
963	964	trial	3	78	yes	1	right	p1	yes	right	p1_right	up	1	481	171	train	TRUE
966	967	trial	3	79	no	1	left	a44	no	right	a44_right	up	1	678	171	train	TRUE
969	970	trial	3	80	yes	1	right	p2	no	right	p2_right	down	1	564	171	train	TRUE
972	973	trial	3	81	no	0	left	p65	no	right	p65_right	up	1	1344	171	train	TRUE
975	976	trial	3	82	yes	0	left	p3	no	left	p3_left	up	1	829	171	train	TRUE
978	979	trial	3	83	yes	0	right	a27	yes	right	a27_right	down	1	604	171	train	TRUE
981	982	trial	3	84	yes	0	left	a27	yes	left	a27_left	down	1	531	171	train	TRUE
984	985	trial	3	85	yes	0	right	p3	yes	right	p3_right	down	1	518	171	train	TRUE
987	988	trial	3	86	no	0	right	a44	yes	left	a44_left	up	1	584	171	train	TRUE
990	991	trial	3	87	no	1	left	a48	yes	right	a48_right	down	1	612	171	train	TRUE
993	994	trial	3	88	no	0	right	p5	no	left	p5_left	up	1	453	171	train	TRUE
996	997	trial	3	89	no	0	left	a11	yes	right	a11_right	up	1	1351	171	train	TRUE
999	1000	trial	3	90	no	0	right	p1	no	left	p1_left	down	1	571	171	train	TRUE
1002	1003	trial	3	91	no	1	left	p5	yes	right	p5_right	down	1	568	171	train	TRUE
1005	1006	trial	3	92	no	0	left	a11	no	right	a11_right	down	1	481	171	train	TRUE
1008	1009	trial	3	93	no	0	right	p2	yes	left	p2_left	up	1	596	171	train	TRUE
1011	1012	trial	3	94	yes	0	right	a48	yes	right	a48_right	down	1	739	171	train	TRUE
1014	1015	trial	3	95	yes	0	right	p2	yes	right	p2_right	up	1	520	171	train	TRUE
12	13	trial	0	0	yes	0	right	practice	yes	right	practice_right	up	1	404	172	practice	TRUE
15	16	trial	0	1	yes	0	right	practice	no	right	practice_right	up	1	422	172	practice	TRUE
18	19	trial	0	2	no	0	left	practice	no	right	practice_right	down	1	460	172	practice	TRUE
21	22	trial	0	3	no	0	left	practice	yes	right	practice_right	down	1	370	172	practice	TRUE
24	25	trial	0	4	no	0	right	practice	no	left	practice_left	up	1	398	172	practice	TRUE
27	28	trial	0	5	no	0	right	practice	yes	left	practice_left	down	1	463	172	practice	TRUE
30	31	trial	0	6	yes	0	left	practice	yes	left	practice_left	up	1	689	172	practice	TRUE
33	34	trial	0	7	yes	0	left	practice	no	left	practice_left	down	1	612	172	practice	TRUE
40	41	trial	1	0	no	0	left	p11	no	right	p11_right	down	1	556	172	assess	TRUE
43	44	trial	1	1	yes	1	right	a60	no	right	a60_right	up	1	526	172	assess	TRUE
46	47	trial	1	2	no	1	right	a40	yes	left	a40_left	down	1	518	172	assess	TRUE
49	50	trial	1	3	no	0	right	p57	yes	left	p57_left	up	1	393	172	assess	TRUE
52	53	trial	1	4	no	1	left	a5	yes	right	a5_right	down	1	560	172	assess	TRUE
55	56	trial	1	5	yes	0	right	a59	no	right	a59_right	up	1	487	172	assess	TRUE
58	59	trial	1	6	yes	0	right	p57	yes	right	p57_right	up	1	458	172	assess	TRUE
61	62	trial	1	7	yes	1	right	a59	no	right	a59_right	up	1	460	172	assess	TRUE
64	65	trial	1	8	no	1	right	p10	yes	left	p10_left	up	1	486	172	assess	TRUE
67	68	trial	1	9	yes	0	right	p57	no	right	p57_right	down	1	557	172	assess	TRUE
70	71	trial	1	10	yes	0	left	p57	yes	left	p57_left	down	1	654	172	assess	TRUE
73	74	trial	1	11	yes	0	right	a60	no	right	a60_right	up	1	562	172	assess	TRUE
76	77	trial	1	12	no	0	left	a60	yes	right	a60_right	up	1	732	172	assess	TRUE
79	80	trial	1	13	no	1	left	p10	no	right	p10_right	down	1	637	172	assess	TRUE
82	83	trial	1	14	no	0	right	p11	yes	left	p11_left	down	1	589	172	assess	TRUE
85	86	trial	1	15	no	1	left	a40	yes	right	a40_right	up	1	582	172	assess	TRUE
88	89	trial	1	16	yes	0	left	a60	no	left	a60_left	up	1	580	172	assess	TRUE
91	92	trial	1	17	yes	1	left	p60	yes	left	p60_left	up	1	611	172	assess	TRUE
94	95	trial	1	18	yes	1	left	a40	no	left	a40_left	down	1	738	172	assess	TRUE
97	98	trial	1	19	yes	1	right	p60	no	right	p60_right	up	1	457	172	assess	TRUE
100	101	trial	1	20	yes	1	left	a60	yes	left	a60_left	down	1	552	172	assess	TRUE
103	104	trial	1	21	no	1	left	a60	no	right	a60_right	up	1	720	172	assess	TRUE
106	107	trial	1	22	yes	1	left	a5	yes	left	a5_left	up	1	562	172	assess	TRUE
109	110	trial	1	23	yes	0	left	p57	no	left	p57_left	down	1	591	172	assess	TRUE
112	113	trial	1	24	no	1	left	p57	no	right	p57_right	down	1	615	172	assess	TRUE
115	116	trial	1	25	no	0	right	p10	yes	left	p10_left	up	1	423	172	assess	TRUE
118	119	trial	1	26	no	0	right	p11	no	left	p11_left	up	1	613	172	assess	TRUE
121	122	trial	1	27	yes	0	left	a40	yes	left	a40_left	down	1	760	172	assess	TRUE
124	125	trial	1	28	no	0	right	a40	yes	left	a40_left	up	1	653	172	assess	TRUE
127	128	trial	1	29	yes	1	right	p57	no	right	p57_right	up	1	443	172	assess	TRUE
130	131	trial	1	30	yes	0	right	a40	yes	right	a40_right	down	1	695	172	assess	TRUE
133	134	trial	1	31	yes	0	right	a40	no	right	a40_right	up	1	593	172	assess	TRUE
136	137	trial	1	32	no	0	left	p10	no	right	p10_right	down	1	654	172	assess	TRUE
139	140	trial	1	33	yes	0	left	a5	no	left	a5_left	up	1	735	172	assess	TRUE
142	143	trial	1	34	yes	1	left	a59	no	left	a59_left	down	1	556	172	assess	TRUE
145	146	trial	1	35	no	1	left	p60	yes	right	p60_right	down	1	497	172	assess	TRUE
148	149	trial	1	36	no	1	right	a5	yes	left	a5_left	up	1	445	172	assess	TRUE
151	152	trial	1	37	no	1	right	p60	no	left	p60_left	up	1	429	172	assess	TRUE
154	155	trial	1	38	no	0	right	p60	yes	left	p60_left	up	2	501	172	assess	TRUE
158	159	trial	1	39	no	1	left	p57	yes	right	p57_right	up	1	712	172	assess	TRUE
161	162	trial	1	40	no	1	right	a5	no	left	a5_left	up	1	527	172	assess	TRUE
164	165	trial	1	41	no	0	left	p11	yes	right	p11_right	down	1	727	172	assess	TRUE
167	168	trial	1	42	no	1	right	p57	no	left	p57_left	down	1	512	172	assess	TRUE
170	171	trial	1	43	no	0	left	a59	no	right	a59_right	up	1	686	172	assess	TRUE
173	174	trial	1	44	yes	1	left	p10	yes	left	p10_left	up	1	578	172	assess	TRUE
176	177	trial	1	45	yes	0	right	a5	yes	right	a5_right	down	1	489	172	assess	TRUE
179	180	trial	1	46	no	1	left	a60	yes	right	a60_right	down	1	526	172	assess	TRUE
182	183	trial	1	47	no	0	left	p57	yes	right	p57_right	down	1	684	172	assess	TRUE
185	186	trial	1	48	yes	1	right	p10	no	right	p10_right	up	1	472	172	assess	TRUE
188	189	trial	1	49	yes	0	left	p60	yes	left	p60_left	down	1	643	172	assess	TRUE
191	192	trial	1	50	no	1	right	p11	no	left	p11_left	down	1	617	172	assess	TRUE
194	195	trial	1	51	yes	1	right	p60	yes	right	p60_right	down	1	480	172	assess	TRUE
197	198	trial	1	52	yes	1	right	a5	yes	right	a5_right	up	1	491	172	assess	TRUE
200	201	trial	1	53	no	0	right	p10	no	left	p10_left	up	1	536	172	assess	TRUE
203	204	trial	1	54	yes	0	right	p10	yes	right	p10_right	up	1	472	172	assess	TRUE
206	207	trial	1	55	no	1	right	a40	no	left	a40_left	up	1	476	172	assess	TRUE
209	210	trial	1	56	no	0	right	a60	yes	left	a60_left	up	1	709	172	assess	TRUE
212	213	trial	1	57	yes	1	left	a5	no	left	a5_left	down	1	655	172	assess	TRUE
215	216	trial	1	58	yes	0	left	p10	yes	left	p10_left	down	1	544	172	assess	TRUE
218	219	trial	1	59	no	1	left	a59	yes	right	a59_right	up	1	546	172	assess	TRUE
221	222	trial	1	60	yes	1	right	p11	yes	right	p11_right	down	1	508	172	assess	TRUE
224	225	trial	1	61	yes	0	left	p11	yes	left	p11_left	down	1	654	172	assess	TRUE
227	228	trial	1	62	no	0	left	a40	no	right	a40_right	down	1	666	172	assess	TRUE
230	231	trial	1	63	yes	0	right	p11	no	right	p11_right	down	1	658	172	assess	TRUE
233	234	trial	1	64	no	1	right	a60	no	left	a60_left	up	1	504	172	assess	TRUE
236	237	trial	1	65	no	0	left	p60	no	right	p60_right	up	1	794	172	assess	TRUE
239	240	trial	1	66	yes	1	left	p57	yes	left	p57_left	up	1	532	172	assess	TRUE
242	243	trial	1	67	no	0	left	p57	no	right	p57_right	up	1	539	172	assess	TRUE
245	246	trial	1	68	no	0	right	a40	no	left	a40_left	down	1	482	172	assess	TRUE
248	249	trial	1	69	yes	1	right	p57	yes	right	p57_right	up	1	436	172	assess	TRUE
251	252	trial	1	70	yes	1	left	p11	no	left	p11_left	down	1	526	172	assess	TRUE
254	255	trial	1	71	no	1	left	p11	yes	right	p11_right	up	1	559	172	assess	TRUE
257	258	trial	1	72	no	1	right	p57	yes	left	p57_left	down	1	492	172	assess	TRUE
260	261	trial	1	73	yes	0	right	a60	yes	right	a60_right	down	1	424	172	assess	TRUE
263	264	trial	1	74	no	1	left	a59	no	right	a59_right	up	1	734	172	assess	TRUE
266	267	trial	1	75	yes	1	right	p10	yes	right	p10_right	up	1	652	172	assess	TRUE
269	270	trial	1	76	no	0	right	p60	no	left	p60_left	down	1	532	172	assess	TRUE
272	273	trial	1	77	no	0	left	a5	yes	right	a5_right	down	1	668	172	assess	TRUE
275	276	trial	1	78	yes	0	left	a59	no	left	a59_left	down	1	627	172	assess	TRUE
278	279	trial	1	79	yes	1	right	a60	yes	right	a60_right	down	1	555	172	assess	TRUE
281	282	trial	1	80	yes	0	left	a59	yes	left	a59_left	down	1	514	172	assess	TRUE
284	285	trial	1	81	no	0	left	p60	yes	right	p60_right	down	1	496	172	assess	TRUE
287	288	trial	1	82	no	0	right	a59	no	left	a59_left	down	1	373	172	assess	TRUE
290	291	trial	1	83	yes	0	left	a60	yes	left	a60_left	down	1	699	172	assess	TRUE
293	294	trial	1	84	no	0	right	a59	yes	left	a59_left	down	1	380	172	assess	TRUE
296	297	trial	1	85	no	0	right	a5	yes	left	a5_left	up	1	537	172	assess	TRUE
299	300	trial	1	86	no	1	left	a5	no	right	a5_right	down	1	504	172	assess	TRUE
302	303	trial	1	87	yes	1	left	p60	no	left	p60_left	down	1	686	172	assess	TRUE
305	306	trial	1	88	yes	0	right	p60	no	right	p60_right	down	1	557	172	assess	TRUE
308	309	trial	1	89	yes	0	right	p60	yes	right	p60_right	down	1	428	172	assess	TRUE
311	312	trial	1	90	no	1	right	a59	no	left	a59_left	down	1	458	172	assess	TRUE
314	315	trial	1	91	no	0	right	p57	no	left	p57_left	up	1	647	172	assess	TRUE
317	318	trial	1	92	yes	1	right	a5	no	right	a5_right	up	1	592	172	assess	TRUE
320	321	trial	1	93	yes	1	right	a40	yes	right	a40_right	up	1	496	172	assess	TRUE
323	324	trial	1	94	no	0	left	a59	yes	right	a59_right	down	1	616	172	assess	TRUE
326	327	trial	1	95	yes	0	left	a5	yes	left	a5_left	down	1	453	172	assess	TRUE
329	330	trial	1	96	yes	0	left	a40	no	left	a40_left	down	1	508	172	assess	TRUE
332	333	trial	1	97	no	0	left	p10	yes	right	p10_right	up	1	785	172	assess	TRUE
335	336	trial	1	98	no	0	left	a40	yes	right	a40_right	down	1	483	172	assess	TRUE
338	339	trial	1	99	yes	1	right	a40	no	right	a40_right	up	1	565	172	assess	TRUE
341	342	trial	1	100	no	0	left	a5	no	right	a5_right	up	1	566	172	assess	TRUE
344	345	trial	1	101	yes	1	left	p10	no	left	p10_left	up	1	645	172	assess	TRUE
347	348	trial	1	102	no	1	left	a40	no	right	a40_right	down	1	654	172	assess	TRUE
350	351	trial	1	103	yes	1	left	a59	yes	left	a59_left	down	1	503	172	assess	TRUE
353	354	trial	1	104	no	1	right	a60	yes	left	a60_left	up	1	561	172	assess	TRUE
356	357	trial	1	105	no	1	left	p10	yes	right	p10_right	down	1	651	172	assess	TRUE
359	360	trial	1	106	no	0	right	a60	no	left	a60_left	up	1	461	172	assess	TRUE
362	363	trial	1	107	no	1	right	p10	no	left	p10_left	down	1	548	172	assess	TRUE
365	366	trial	1	108	no	1	right	p60	yes	left	p60_left	up	1	492	172	assess	TRUE
368	369	trial	1	109	yes	1	left	p57	no	left	p57_left	up	1	678	172	assess	TRUE
371	372	trial	1	110	yes	1	left	a60	no	left	a60_left	up	1	610	172	assess	TRUE
374	375	trial	1	111	yes	0	right	a59	yes	right	a59_right	up	1	466	172	assess	TRUE
377	378	trial	1	112	no	1	left	p11	no	right	p11_right	down	1	624	172	assess	TRUE
380	381	trial	1	113	yes	0	right	a5	no	right	a5_right	up	1	748	172	assess	TRUE
383	384	trial	1	114	yes	0	left	p10	no	left	p10_left	down	1	586	172	assess	TRUE
386	387	trial	1	115	yes	0	left	p11	no	left	p11_left	down	1	631	172	assess	TRUE
