t1_left	a1_left	f1_left	block_type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	3	null	NA	NA	NA	right_down	1476.69	39	1	1	0	TRUE	82673.685	83622.345	85121.19	86699.14	NA	26	86699.41	6593390	115257	6593405	63640.62
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	1	556.215	39	keydown	right_down	NA	NA	NA	1	1	1	FALSE	82673.685	86699.42	87275.955	87435.6	NA	27	87435.845	6593390	115257	6593405	64377.055
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	782.26	37	keydown	left_down	NA	NA	NA	1	2	0	FALSE	87436.105	88018.55	88817.465	88967.75	NA	28	88968.03	6593390	115257	6593406	65909.24
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_p_6_test	1	550.59	39	keydown	right_down	NA	NA	NA	1	3	0	FALSE	88968.375	89717.33	90384.59	90549.68	NA	29	90549.925	6593390	115257	6593406	67491.135
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_1	1	751.945	39	keydown	right_down	NA	NA	NA	1	4	0	FALSE	90550.21	91465.555	92234.33	92398.07	NA	30	92398.34	6593390	115257	6593406	69339.55
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_5_test	2	557.535	37	keydown	left_down	NA	NA	NA	1	5	0	FALSE	92398.715	93080.87	93655.035	93880.125	NA	31	93880.385	6593390	115257	6593407	70821.595
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	3	null	NA	NA	NA	right_down	9.73	39	1	6	0	TRUE	93880.625	94845.895	96345.025	96493.78	NA	32	96494.06	6593390	115257	6593407	73435.27
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	1	531.26	39	keydown	right_down	NA	NA	NA	1	6	1	FALSE	93880.625	96494.07	97042.445	97193.935	NA	33	97194.235	6593390	115257	6593408	74135.445
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_8	1	1090.07	39	keydown	right_down	NA	NA	NA	1	7	0	FALSE	97194.55	97726.77	98833.495	98992.34	NA	34	98992.6	6593390	115257	6593408	75933.81
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	502.265	37	keydown	left_down	NA	NA	NA	1	8	0	FALSE	98992.905	99691.715	100210.635	100374.5	NA	35	100374.745	6593390	115257	6593408	77315.955
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	591.2	37	keydown	left_down	NA	NA	NA	1	9	0	FALSE	100375.03	101023.935	101632.305	101789.935	NA	36	101790.175	6593390	115257	6593409	78731.385
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	641.27	37	keydown	left_down	NA	NA	NA	1	10	0	FALSE	101790.485	102406.06	103064	103222	NA	37	103222.245	6593390	115257	6593409	80163.455
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_1	1	498.815	39	keydown	right_down	NA	NA	NA	1	11	0	FALSE	103222.555	104071.28	104586.755	104754.01	NA	38	104754.255	6593390	115257	6593409	81695.465
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	656.43	37	keydown	left_down	NA	NA	NA	1	12	0	FALSE	104754.565	105703.21	106376.305	106535.79	NA	39	106536.055	6593390	115257	6593410	83477.265
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_4	1	652.575	39	keydown	right_down	NA	NA	NA	1	13	0	FALSE	106536.33	107035.38	107705.12	107867.965	NA	40	107868.215	6593390	115257	6593410	84809.425
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	612.255	37	keydown	left_down	NA	NA	NA	1	14	0	FALSE	107868.495	108517.37	109146.645	109300.07	NA	41	109300.35	6593390	115257	6593411	86241.56
FALSE	TRUE	NA	tar1att2_2	tar_1	liqun_a_10_test	1	697.68	39	keydown	right_down	NA	NA	NA	1	15	0	FALSE	109300.715	109982.785	110792.975	110948.61	NA	42	110948.86	6593390	115257	6593411	87890.07
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	663.475	37	keydown	left_down	NA	NA	NA	1	16	0	FALSE	110949.14	111714.64	112394.765	112547.23	NA	43	112547.475	6593390	115257	6593411	89488.685
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_a_9_test	1	624.67	39	keydown	right_down	NA	NA	NA	1	17	0	FALSE	112547.875	113180.02	113919.125	114079.225	NA	44	114079.465	6593390	115257	6593412	91020.675
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_6	1	774.65	39	keydown	right_down	NA	NA	NA	1	18	0	FALSE	114079.715	114578.77	115370.09	115528.03	NA	45	115528.28	6593390	115257	6593412	92469.49
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_9	1	700.38	39	keydown	right_down	NA	NA	NA	1	19	0	FALSE	115528.555	116310.6	117027.63	117193.215	NA	46	117193.455	6593390	115257	6593413	94134.665
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	567.59	39	keydown	right_down	NA	NA	NA	1	20	0	FALSE	117193.71	118142.335	118726.575	118891.72	NA	47	118892.02	6593390	115257	6593413	95833.23
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	488.655	37	keydown	left_down	NA	NA	NA	1	21	0	FALSE	118892.315	119757.59	120262.955	120423.745	NA	48	120423.985	6593390	115257	6593413	97365.195
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_p_7_test	1	672.945	39	keydown	right_down	NA	NA	NA	1	22	0	FALSE	120424.705	121089.785	121876.07	122038.995	NA	49	122039.235	6593390	115257	6593414	98980.445
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_7	1	1210.895	39	keydown	right_down	NA	NA	NA	1	23	0	FALSE	122039.51	122588.52	123816.07	123970.565	NA	50	123970.805	6593390	115257	6593414	100912.015
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	596.45	37	keydown	left_down	NA	NA	NA	1	24	0	FALSE	123971.065	124620.075	125233.145	125386.08	NA	51	125386.325	6593390	115257	6593415	102327.535
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	479.63	37	keydown	left_down	NA	NA	NA	1	25	0	FALSE	125386.6	125952.215	126448.515	126618.335	NA	52	126618.585	6593390	115257	6593415	103559.795
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	469.815	37	keydown	left_down	NA	NA	NA	1	26	0	FALSE	126618.86	127450.97	127937.45	128100.53	NA	53	128100.835	6593390	115257	6593415	105042.045
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_p_7_test	1	575.205	39	keydown	right_down	NA	NA	NA	1	27	0	FALSE	128101.25	129016.21	129608.07	129765.605	NA	54	129765.855	6593390	115257	6593416	106707.065
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	596.41	39	keydown	right_down	NA	NA	NA	1	28	0	FALSE	129766.12	130381.76	130994.82	131147.735	NA	55	131148.045	6593390	115257	6593416	108089.255
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	652.25	37	keydown	left_down	NA	NA	NA	1	29	0	FALSE	131148.36	131714.03	132382.91	132546.515	NA	56	132546.78	6593390	115257	6593416	109487.99
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_a_10_test	1	641.42	39	keydown	right_down	NA	NA	NA	1	30	0	FALSE	132547.125	133062.745	133823.42	133995.275	NA	57	133995.53	6593390	115257	6593417	110936.74
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_3	1	677.505	39	keydown	right_down	NA	NA	NA	1	31	0	FALSE	133995.81	134644.67	135338.82	135493.965	NA	58	135494.555	6593390	115257	6593417	112435.765
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	496.7	37	keydown	left_down	NA	NA	NA	1	32	0	FALSE	135494.79	136376.505	136889.835	137042.625	NA	59	137042.89	6593390	115257	6593418	113984.1
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	524.45	37	keydown	left_down	NA	NA	NA	1	33	0	FALSE	137043.16	137625.455	138166.565	138324.84	NA	60	138325.075	6593390	115257	6593418	115266.285
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	1	448.295	39	keydown	right_down	NA	NA	NA	1	34	0	FALSE	138325.335	139190.79	139655.71	139806.905	NA	61	139807.145	6593390	115257	6593418	116748.355
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	472.035	37	keydown	left_down	NA	NA	NA	1	35	0	FALSE	139807.425	140389.705	140878.405	141039.145	NA	62	141039.385	6593390	115257	6593419	117980.595
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_4_test	1	1019.005	39	keydown	right_down	NA	NA	NA	1	36	0	FALSE	141039.795	141805.115	142943.05	143104.015	NA	63	143104.25	6593390	115257	6593419	120045.46
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_8	1	668.855	39	keydown	right_down	NA	NA	NA	1	37	0	FALSE	143104.505	144069.81	144755.345	144919.115	NA	64	144919.36	6593390	115257	6593420	121860.57
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	574.42	39	keydown	right_down	NA	NA	NA	1	38	0	FALSE	144919.64	145518.555	146110.225	146267.905	NA	65	146268.17	6593390	115257	6593420	123209.38
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_p_9_test	2	535.23	37	keydown	left_down	NA	NA	NA	1	39	0	FALSE	146268.565	147050.545	147602.56	147749.97	NA	66	147750.245	6593390	115257	6593420	124691.455
