participation_id	task_n	resp_1_n	outlier_fast_n	outlier_slow_n	score	score.approach	score.avoid	set	userID	userAgent	taskType	task_name	Timetamp	UserID	Session	Task	RunID	Name	sequence_report
6594254	91	89	0	0	7.64499999999998	501.735	509.38	115257_6594254	115257	Mozilla\/5.0 (Windows NT 6.1; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/51.0.2704.106 Safari\/537.36	aat	aat	2016-09-06 05:19	115257	Pretest task3	Assessment Task 3	6594254	task_start	NA
6594467	210	200	0	0	26.8275	444.36	471.1875	115257_6594467	115257	Mozilla\/5.0 (Windows NT 6.1; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/51.0.2704.106 Safari\/537.36	aat		2016-09-06 07:11	115257	training1 task2	Training Task 2	6594467	task_start	NA
