Timetamp	UserID	Session	Task	RunID	Name	Value
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594168	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","tar_1","liqun_a_10_test",1,622.715,37,"keydown","left_down","NA","NA","NA",0,7,0,false,39700.915,40299.8,41021.065,41182.345,"NA",7,41182.565,"6594159"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_6",2,1282,37,"keydown","left_down","NA","NA","NA",0,8,0,false,41182.825,41865.11,43163.77,43313.805,"NA",8,43314.045,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594169	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_4",2,898.935,37,"keydown","left_down","NA","NA","NA",0,9,0,false,43314.25,44196.445,45112,45278.815,"NA",9,45279.06,"6594159"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_3",1,1014.975,39,"keydown","right_down","NA","NA","NA",0,10,0,false,45279.475,45944.95,46976.52,47127.165,"NA",10,47127.36,"6594159"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_8",1,649.655,37,"keydown","left_down","NA","NA","NA",0,11,0,false,47127.58,48043.04,48709.355,48859.005,"NA",11,48859.215,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594170	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_3",1,778.995,37,"keydown","left_down","NA","NA","NA",0,12,0,false,48859.43,49674.965,50470.615,50640.805,"NA",12,50641.025,"6594159"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_10",2,863.09,37,"keydown","left_down","NA","NA","NA",0,13,0,false,50641.265,51306.845,52186.595,52339.435,"NA",13,52339.625,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594171	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_2",1,1030.605,39,"keydown","right_down","NA","NA","NA",0,14,0,false,52339.83,52838.84,53886.12,54037.79,"NA",14,54038.01,"6594159"],[true,true,"NA","tar1att1_1","tar_1","yuxi_p_2_test",1,574.98,37,"keydown","left_down","NA","NA","NA",0,15,0,false,54038.545,54937.045,55625.95,55786.275,"NA",15,55786.495,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594172	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_10",1,896.01,37,"keydown","left_down","NA","NA","NA",0,16,0,false,55786.745,56702.165,57614.82,57784.555,"NA",16,57784.77,"6594159"],[true,true,"NA","tar1att1_1","tar_1","hongshuangxi_a_5_test",1,488.62,37,"keydown","left_down","NA","NA","NA",0,17,0,false,57785.11,58633.785,59233.64,59383.12,"NA",17,59383.35,"6594159"],[true,true,"NA","tar1att1_1","tar_1","zhonghua_p_6_test",1,491.95,37,"keydown","left_down","NA","NA","NA",0,18,0,false,59383.71,60299.025,60911.87,61065.08,"NA",18,61065.345,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594173	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_7",1,935.405,39,"keydown","right_down","NA","NA","NA",0,19,0,false,61065.585,61747.83,62699.915,62863.485,"NA",19,62863.71,"6594159"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_6",1,772.15,37,"keydown","left_down","NA","NA","NA",0,20,0,false,62863.96,63829.25,64618.03,64762.02,"NA",20,64762.23,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594174	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_2","word_ttq_avo_9",1,730.9,39,"keydown","right_down","NA","NA","NA",0,21,0,false,64762.45,65344.615,66092.185,66244.02,"NA",21,66244.245,"6594159"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_2",1,889.995,37,"keydown","left_down","NA","NA","NA",0,22,0,false,66244.495,67193.07,68099.605,68258.75,"NA",22,68258.97,"6594159"]]
2016-09-06 05:13	115257	Pretest task1	Assessment Task 1	6594175	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_1","att_1","word_ttq_app_9",1,1055.325,37,"keydown","left_down","NA","NA","NA",0,23,0,false,68259.21,69124.625,70196.865,70356.89,"NA",23,70357.095,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594176	slideshow	[["set","slide","delay","phase","response","rt","modality","id","time_start","time_buttons","time_response","logger_sn","logger_time","participation_id"],["noname",1,0,"down","next",8489.795,"keydown",39,70360.215,70360.225,78863.765,13,78863.905,"6594159"],["noname",1,0,"up","up",77.905,"keyup",39,70360.215,70360.225,78960.2,14,78960.225,"6594159"],["noname",2,0,"down","next",719.805,"keydown",39,78960.31,78960.315,79702.54,15,79702.63,"6594159"],["noname",2,0,"up","up",35.6,"keyup",39,78960.31,78960.315,79767.83,16,79767.845,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594177	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_9",1,1168.225,39,"keydown","right_down","NA","NA","NA",1,0,0,false,79768.35,80581.535,81766.475,81930.125,"NA",24,81930.325,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_9",1,670.395,37,"keydown","left_down","NA","NA","NA",1,1,0,false,81930.545,82529.555,83216.635,83378.88,"NA",25,83379.12,"6594159"],[true,true,"NA","tar1att1_2","tar_1","nanjing_p_10_test",1,478.365,37,"keydown","left_down","NA","NA","NA",1,2,0,false,83379.46,84178.14,84756.81,84927.485,"NA",26,84927.68,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594178	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_10",1,1163.875,39,"keydown","right_down","NA","NA","NA",1,3,0,false,84927.89,85826.82,87007.41,87158.89,"NA",27,87159.09,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_1",2,976.61,37,"keydown","left_down","NA","NA","NA",1,4,0,false,87159.56,87658.48,88651.72,88807.43,"NA",28,88807.655,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594179	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_9",1,888.335,39,"keydown","right_down","NA","NA","NA",1,5,0,false,88807.91,89756.56,90661.54,90822.39,"NA",29,90822.595,"6594159"],[true,true,"NA","tar1att1_2","tar_1","nobrand_p_10_test",1,853.03,37,"keydown","left_down","NA","NA","NA",1,6,0,false,90822.92,91488.405,92445.115,92604.105,"NA",30,92604.425,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594180	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_8",1,744.245,37,"keydown","left_down","NA","NA","NA",1,7,0,false,92604.66,93569.97,94330.875,94485.845,"NA",31,94486.065,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_2",1,746.435,39,"keydown","right_down","NA","NA","NA",1,8,0,false,94486.33,95318.425,96081.53,96234.29,"NA",32,96234.61,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594181	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_6",1,708.645,39,"keydown","right_down","NA","NA","NA",1,9,0,false,96234.845,96733.845,97459.165,97616.385,"NA",33,97616.61,"6594159"],[true,true,"NA","tar1att1_2","tar_1","liqun_a_10_test",1,496.265,37,"keydown","left_down","NA","NA","NA",1,10,0,false,97617.12,98382.41,98895.29,99065.15,"NA",34,99065.355,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_2",1,666.96,39,"keydown","right_down","NA","NA","NA",1,11,0,false,99065.56,99681.26,100364.915,100530.53,"NA",35,100530.755,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594182	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_4",1,831.11,39,"keydown","right_down","NA","NA","NA",1,12,0,false,100530.965,101030.1,101878.245,102029.245,"NA",36,102029.445,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_3",1,934.445,39,"keydown","right_down","NA","NA","NA",1,13,0,false,102029.655,102895.155,103846.265,104010.83,"NA",37,104011.03,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594183	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_2",1,607.195,39,"keydown","right_down","NA","NA","NA",1,14,0,false,104011.245,104643.61,105267.465,105426.335,"NA",38,105426.565,"6594159"],[true,true,"NA","tar1att1_2","tar_1","yuxi_p_5_test",1,567.815,37,"keydown","left_down","NA","NA","NA",1,15,0,false,105426.86,106042.41,106725.765,106891.63,"NA",39,106891.84,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_3",1,874.085,37,"keydown","left_down","NA","NA","NA",1,16,0,false,106892.05,107557.705,108448.455,108606.86,"NA",40,108607.08,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594184	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","tar_1","liqun_p_2_test",1,505,37,"keydown","left_down","NA","NA","NA",1,17,0,false,108607.4,109539.32,110154.62,110305.32,"NA",41,110305.525,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_4",1,626.805,39,"keydown","right_down","NA","NA","NA",1,18,0,false,110305.735,110921.48,111565.495,111737.375,"NA",42,111737.575,"6594159"]]
